morphemes	target	prediction	morphemes_predseg	prediction_predseg
njenga_oko	AdvPre_Dem15_Pos2	AdvPre_Dem15	njenga_oko	AdvPre_Dem15
i_zim_vo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_zim_vo	NPrePre10_BPre10_NStem
za_a_ba_hlali	PossConc10_NPrePre2_BPre2_NStem	PossConc10_NPrePre2_BPre2_NStem	za_a_ba_hlali	PossConc10_NPrePre2_BPre2_NStem
zi_quk_iw_e	SC10_VRoot_PassExt_VerbTerm	SC10_VRoot_PassExt_VerbTerm	zi_quk_iw_e	SC10_VRoot_PassExt_VerbTerm
ku_i_zi_cwangciso	LocPre_NPrePre8_BPre8_NStem	LocPre_NPrePre8_BPre8_NStem	ku_i_zi_cwangciso	LocPre_NPrePre8_BPre8_NStem
za_u_(lu)_phuhliso	PossConc8_NPrePre11_BPre11_NStem	PossConc8_NPrePre11_BPre11_NStem	za_u_(lu)_phuhliso	PossConc8_NPrePre11_BPre11_NStem
na_u_ku_khul_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	na_u_ku_khul_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
.	Punc	Punc	.	Punc
u_ku_omelez_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_omelez_a	NPrePre15_BPre15_VRoot_VerbTerm
i_si_xokelelwano	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_xokelelwano	NPrePre7_BPre7_NStem
sa_u_bu_lungis_w_a	PossConc7_NPrePre14_BPre14_VRoot_PassExt_VerbTerm	PossConc7_NPrePre14_BPre14_VRoot_PassExt_VerbTerm	sa_u_bu_lungiswa	PossConc7_NPrePre14_BPre14_NStem
obu_jong_an_e	RelConc14_VRoot_RecipExt_VerbTerm	RelConc14_VRoot_RecipExt_VerbTerm	obu_jong_an_e	RelConc14_VRoot_RecipExt_VerbTerm
na_u_lu_aphulo_m_thetho	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem	na_u_lu_aphulo_m_thetho	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem
.	Punc	Punc	.	Punc
oku	Dem15_Pos1	Dem15	oku	Dem15
ku_fun_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_fun_a	SC15_VRoot_VerbTerm
u_ku_sebenz_is_an_a	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm	u_ku_sebenz_is_an_a	NPrePre15_BPre15_VRoot_CausExt_RecipExt_VerbTerm
phakathi	Adv	Adv	phakathi	Adv
kwa_a_ma_sebe	PossConc15_NPrePre6_BPre6_NStem	PossConc15_NPrePre6_BPre6_NStem	kwa_a_ma_sebe	PossConc15_NPrePre6_BPre6_NStem
o_nke	QuantConc6_QuantStem	QuantConc6_QuantStem	o_nke	QuantConc6_QuantStem
ku_u_bu_lungisa	LocPre_NPrePre14_BPre14_NStem	LocPre_NPrePre14_BPre14_NStem	ku_u_bu_lungisa	LocPre_NPrePre14_BPre14_NStem
bu_ka_rhulumente	PossConc14_PossKA_NStem	PossConc14_PossKA_NStem	bu_ka_rhulumente	PossConc14_PossKA_NStem
,	Punc	Punc	,	Punc
u_thintelo	NPrePre11_NStem	NPrePre11_NStem	u_thintelo	NPrePre11_NStem
lwa_u_lu_aphulo_m_thetho	PossConc11_NPrePre11_BPre11_NStem_BPre3_NStem	PossConc11_NPrePre11_BPre11_NStem_BPre3_NStem	lwa_u_lu_aphulo_m_thetho	PossConc11_NPrePre11_BPre11_NStem_BPre3_NStem
na_i_m_bumb_a	AdvPre_NPrePre9_NPrePre3_VRoot_VerbTerm	AdvPre_NPrePre9_BPre3_VRoot_VerbTerm	na_i_m_bumba	AdvPre_NPrePre9_BPre9_NStem
ya_u_(lu)_khuseleko	PossConc9_NPrePre11_BPre11_NStem	PossConc9_NPrePre11_BPre11_NStem	ya_u_(lu)_khuseleko	PossConc9_NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
i_(z)in_gcebiso	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_gcebiso	NPrePre10_BPre10_NStem
za_u_ku_phononong_w_a	PossConc10_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	PossConc10_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	za_u_ku_phononong_w_a	PossConc10_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_i_si_xokelelwano	PossConc15_NPrePre7_BPre7_NStem	PossConc15_NPrePre7_BPre7_NStem	kwa_i_si_xokelelwano	PossConc15_NPrePre7_BPre7_NStem
sa_u_bu_lungisa	PossConc7_NPrePre14_BPre14_NStem	PossConc7_NPrePre14_BPre14_NStem	sa_u_bu_lungisa	PossConc7_NPrePre14_BPre14_NStem
obu_jong_an_e	RelConc14_VRoot_RecipExt_VerbTerm	RelConc14_VRoot_RecipExt_VerbTerm	obu_jong_an_e	RelConc14_VRoot_RecipExt_VerbTerm
na_u_lu_aphulo_m_thetho	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem	na_u_lu_aphulo_m_thetho	AdvPre_NPrePre11_BPre11_NStem_BPre3_NStem
sa_s_e_Mzantsi	PossConc7_PreLoc-s_LocPre_ProperName	PossConc7_PreLoc-s_LocPre_ProperName	sa_s_e_mzantsi	PossConc7_PreLoc-s_LocPre_Adv
Afrika	ProperName	ProperName	afrika	NegPre
zi_ya	SC10_Fut	SC10_Fut	zi_ya	SC10_Fut
ku_hamb_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_hamb_a	SC15_VRoot_VerbTerm
u_m_gama	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_gama	NPrePre3_BPre3_NStem
e_u_ku_jong_an_a_ini	LocPre_NPrePre15_BPre15_VRoot_RecipExt_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_RecipExt_VerbTerm_LocSuf	e_u_ku_jong_an_a_ini	LocPre_NPrePre15_BPre15_VRoot_RecipExt_VerbTerm_LocSuf
na_u_(bu)_buthathaka	AdvPre_NPrePre14_BPre14_RelStem	AdvPre_NPrePre14_BPre14_RelStem	na_u_buthathaka	AdvPre_NPrePre1a_RelStem
ba_ngoku	PossConc14_Adv	CopPre_Adv	ba_nga_oku	CopPre_AdvPre_Dem15
ba_i_si_xokelelwano	PossConc14_NPrePre7_BPre7_NStem	PossConc14_NPrePre7_BPre7_NStem	ba_i_si_xokelelwano	PossConc14_NPrePre7_BPre7_NStem
.	Punc	Punc	.	Punc
i_si_phumo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_phumo	NPrePre7_BPre7_NStem
nga_si_nye	AdvPre_EnumConc7_EnumStem	AdvPre_EnumConc7_EnumStem	nga_si_nye	AdvPre_EnumConc7_EnumStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
ku_enz_iw_e	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	ku_enz_iw_e	SC15_VRoot_PassExt_VerbTerm
i_n_gxelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_gxelo	NPrePre9_BPre9_NStem
nga_so	AdvPre_PronStem7	AdvPre_PronStem7	nga_so	AdvPre_PronStem7
ku_i_kholam	LocPre_NPrePre9_NStem	LocPre_NPrePre9_NStem	ku_i_kholam	LocPre_NPrePre9_NStem
ya_i_n_kqubo	PossConc9_NPrePre9_BPre9_NStem	PossConc9_NPrePre9_BPre9_NStem	ya_i_n_kqubo	PossConc9_NPrePre9_BPre9_NStem
.	Punc	Punc	.	Punc
na_yi_phi	AdvPre_EnumConc9_EnumStem	AdvPre_EnumConc9_EnumStem	na_yi_phi	AdvPre_EnumConc9_EnumStem
na	Interrog	Interrog	na	Interrog
i_mi_sebenzi	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_sebenzi	NPrePre4_BPre4_NStem
e_y_a_yi_nga_ceb_w_a_nga	RelConc4_SC4_Past_SC4_NegPre_VRoot_PassExt_VerbTerm_NegPre	RelConc9_CopPre_Past_Past_NegPre_VRoot_PassExt_VerbTerm_NegPre	e_ya_yi_nga_ceb_w_a_nga	RelConc9_Pres_OC4_NegPre_VRoot_PassExt_VerbTerm_NegPre
,	Punc	Punc	,	Punc
kodwa	Conj	Conj	kodwa	Conj
y_a_th_i	SC4_Past_VRoot_VerbTerm	SC9_Past_VRoot_VerbTerm	y_a_th_i	SC9_Past_VRoot_VerbTerm
y_enz_iw_a	SC4_VRoot_PassExt_VerbTerm	SC9_VRoot_PassExt_VerbTerm	i_enz_iw_a	SC9_VRoot_PassExt_VerbTerm
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
i_fak_w_e	SC9_VRoot_PassExt_VerbTerm	SC4_VRoot_PassExt_VerbTerm	i_fak_w_e	SC4_VRoot_PassExt_VerbTerm
phaya	Dem16_Pos3	Dem16	phaya	Dem16
e_a_ma_zantsi	LocPre_NPrePre6_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	e_a_ma_zantsi	LocPre_NPrePre6_BPre6_NStem
.	Punc	Punc	.	Punc
ku_kho	CopPre_Adv	CopPre_Adv	ku_kho	CopPre_Adv
a_ma_tyeli	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_tyeli	NPrePre6_BPre6_NStem
apho	Dem16_Pos2	Dem16	apho	Dem16
u_masipala	NPrePre1a_NStem	NPrePre1a_NStem	u_masipala	NPrePre1a_NStem
a_nga_zi_v_a	SC1a_Pot_ReflPre_VRoot_VerbTerm	SC6_Pot_ReflPre_VRoot_VerbTerm	a_nga_zi_v_a	SC6_Pot_ReflPre_VRoot_VerbTerm
ngathi	Adv	Adv	ngathi	Adv
e_i_n_dawo_ini	LocPre_NPrePre9_BPre9_NStem_LocSuf	LocPre_NPrePre9_BPre9_NStem_LocSuf	e_i_n_dawo_ini	LocPre_NPrePre9_BPre9_NStem_LocSuf
ya_u_ku_nikezel_a	PossConc9_NPrePre15_BPre15_VRoot_VerbTerm	PossConc9_NPrePre15_BPre15_VRoot_VerbTerm	ya_u_ku_nikezel_a	PossConc9_NPrePre15_BPre15_VRoot_VerbTerm
i_(z)in_konzo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_konzo	NPrePre10_BPre10_NStem
ezi_th_e	RelConc10_VRoot_VerbTerm	RelConc10_VRoot_VerbTerm	ezi_th_e	RelConc10_VRoot_VerbTerm
ngqo	Ideoph	Ideoph	ngqo	Ideoph
,	Punc	Punc	,	Punc
ku_nga_ngcono	CopPre_Pot_RelStem	CopPre_AdvPre_RelStem	ku_nga_ngcono	CopPre_AdvPre_RelStem
u_ku_qesh_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_qesh_a	NPrePre15_BPre15_VRoot_VerbTerm
u_m_ntu	NPrePre1_BPre1_NStem	NPrePre1_BPre1_NStem	u_m_ntu	NPrePre1_BPre1_NStem
o_th_ile	RelConc3_VRoot_Perf	RelConc3_VRoot_Perf	o_th_ile	RelConc3_VRoot_Perf
(	Punc	Punc	(	Punc
u_m_nikezeli	NPrePre1_BPre1_NStem	NPrePre1_BPre3_NStem	u_m_nikezeli	NPrePre1_BPre3_NStem
wa_i_n_khonzo	PossConc1_NPrePre9_BPre9_NStem	PossConc1_NPrePre9_BPre9_NStem	wa_i_n_khonzo	PossConc1_NPrePre9_BPre9_NStem
)	Punc	Punc	)	Punc
ukuba	Conj	Conj	ukuba	Conj
enz_e	VRoot_VerbTerm	VRoot_VerbTerm	enz_e	VRoot_VerbTerm
njalo	Adv	Adv	njalo	Adv
.	Punc	Punc	.	Punc
i_zi_zathu	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_zathu	NPrePre8_BPre8_NStem
za_ukuba	PossConc10_Conj	PossConc10_Conj	za_ukuba	PossConc10_Conj
u_masipala	NPrePre1a_NStem	NPrePre1a_NStem	u_masipala	NPrePre1a_NStem
a_kheth_e	SC1a_VRoot_VerbTerm	SC6_VRoot_VerbTerm	a_kheth_e	SC6_VRoot_VerbTerm
le	Dem4_Pos1	Dem4	le	Dem4
n_dlela	BPre9_NStem	BPre9_NStem	n_dlela	BPre9_NStem
k_ukuba	CopPre_Conj	CopPre_Conj	k_ukuba	CopPre_Conj
aba_nye	AdjPref2_AdjStem	AdjPref2_AdjStem	aba_nye	AdjPref2_AdjStem
oo_masipala	NPrePre2a_NStem	NPrePre2a_NStem	oo_masipala	NPrePre2a_NStem
,	Punc	Punc	,	Punc
i_mi_butho	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_butho	NPrePre4_BPre4_NStem
(	Punc	Punc	(	Punc
i_(z)i_NGO	NPrePre10_BPre10_Abbr	NPrePre10_BPre10_Abbr	i_(z)i_ngo	NPrePre10_BPre10_NStem
okanye	Conj	Conj	okanye	Conj
i_(z)i_CBO	NPrePre10_BPre10_Abbr	NPrePre10_BPre10_Abbr	i_(z)i_cbo	NPrePre10_BPre10_NStem
)	Punc	Punc	)	Punc
okanye	Conj	Conj	okanye	Conj
i_(z)in_kampani	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_kampani	NPrePre10_BPre10_NStem
za_bucala	PossConc10_Adv	PossConc10_Adv	za_bucala	PossConc10_Adv
zi_nga_na_oo_vimba	CopPre_Pot_CopPre_NPrePre2a_NStem	CopPre_AdvPre_CopPre_NPrePre2a_NStem	zi_nga_na_u_(lu)_vimba	CopPre_AdvPre_CopPre_NPrePre11_BPre11_NStem
aba_ngcono	RelConc2_RelStem	RelConc2_RelStem	aba_ngcono	RelConc2_RelStem
na_i_zi_khono	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	na_i_zi_khono	AdvPre_NPrePre8_BPre8_NStem
za_u_(lu)_lawulo	PossConc10_NPrePre11_BPre11_NStem	PossConc10_NPrePre11_BPre11_NStem	za_u_(lu)_lawulo	PossConc10_NPrePre11_BPre11_NStem
e_u_ku_nikezel_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_nikezel_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_n_konzo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_konzo	NPrePre9_BPre9_NStem
.	Punc	Punc	.	Punc
a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre2_BPre2_NStem_BPre9_NStem	a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem
ba_gqibezel_a	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm	ba_gqibezel_a	SC2_VRoot_VerbTerm
u_m_zekelo	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_zekelo	NPrePre3_BPre3_NStem
o_nga_e_zantsi	RelConc3_AdvPre_LocPre_Adv	RelConc3_AdvPre_LocPre_Adv	o_nga_e_zantsi	RelConc3_AdvPre_LocPre_Adv
o_malunga	RelConc3_Adv	RelConc3_Adv	o_malunga	RelConc3_Adv
na_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre9_BPre9_NStem	na_i_n_dlela	AdvPre_NPrePre9_BPre9_NStem
i_KPI	NPrePre9_Abbr	NPrePre9_Abbr	i_kpi	NPrePre9_PronStem5
e_hlangabez_an_a	RelConc9_VRoot_RecipExt_VerbTerm	RelConc4_VRoot_RecipExt_VerbTerm	e_hlangabez_an_a	RelConc4_VRoot_RecipExt_VerbTerm
nga_yo	AdvPre_PronStem9	AdvPre_PronStem9	nga_yo	AdvPre_PronStem9
na_i_(z)in_funo	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	na_i_(z)in_funo	AdvPre_NPrePre10_BPre10_NStem
za_i_mi_miselo	PossConc8_NPrePre4_BPre4_NStem	PossConc10_NPrePre4_BPre4_NStem	za_i_mi_miselo	PossConc10_NPrePre4_BPre4_NStem
.	Punc	Punc	.	Punc
sebenz_is_a	VRoot_CausExt_VerbTerm	VRoot_CausExt_VerbTerm	sebenz_is_a	VRoot_CausExt_VerbTerm
u_m_gca	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_gca	NPrePre3_BPre3_NStem
wa_u_ku_qal_a	PossConc3_NPrePre15_BPre15_VRoot_VerbTerm	PossConc3_NPrePre15_BPre15_VRoot_VerbTerm	wa_u_ku_qal_a	PossConc3_NPrePre15_BPre15_VRoot_VerbTerm
njenga_u_m_zekelo	AdvPre_NPrePre3_BPre3_NStem	AdvPre_NPrePre3_BPre3_NStem	njenga_u_m_zekelo	AdvPre_NPrePre3_BPre3_NStem
a_ze	SC6_AuxVStem	SC6_AuxVStem	a_ze	SC6_AuxVStem
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_qela	NPrePre6_BPre6_NStem
a_gcwalis_e	SC6_VRoot_VerbTerm	SC6_VRoot_VerbTerm	a_gcwalis_e	SC6_VRoot_VerbTerm
u_lu_hlu	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_hlu	NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
i_m_bali	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_m_bali	NPrePre9_BPre9_NStem
ya_u_Mzantsi	PossConc9_NPrePre3_ProperName	PossConc9_NPrePre3_ProperName	ya_u_mzantsi	PossConc9_NPrePre3_RelStem
Afrika	ProperName	ProperName	afrika	NegPre
na_a_ma_va	AdvPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_NStem	na_a_ma_va	AdvPre_NPrePre6_BPre6_NStem
ama_nye	AdjPref6_AdjStem	AdjPref6_AdjStem	ama_nye	AdjPref6_AdjStem
a_ma_zwe	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_zwe	NPrePre6_BPre6_NStem
a_bon_is_a	SC6_VRoot_CausExt_VerbTerm	SC6_VRoot_CausExt_VerbTerm	a_bon_is_a	SC6_VRoot_CausExt_VerbTerm
ukuba	Conj	Conj	ukuba	Conj
u_manyano	NPrePre11_NStem	NPrePre11_NStem	u_manyano	NPrePre11_NStem
na_u_ku_namathel_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	na_u_ku_na_mathel_a	AdvPre_NPrePre15_BPre15_Pot_VRoot_VerbTerm
kwa_s_e_u_ku_hlal_a_ini	PossConc15_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	PossConc15_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	kwa_s_e_u_ku_hlal_a_ini	PossConc15_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
zi_y_i_m_funeko	CopPre_CopPre_NPrePre9_BPre9_NStem	CopPre_CopPre_NPrePre9_BPre9_NStem	zi_y_i_m_funeko	CopPre_CopPre_NPrePre9_BPre9_NStem
u_ku_hlangabez_an_a	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm	u_ku_hlangabez_an_a	NPrePre15_BPre15_VRoot_RecipExt_VerbTerm
na_i_(z)in_jongo	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	na_i_(z)in_jongo	AdvPre_NPrePre10_BPre10_NStem
za_s_e_u_ku_hlal_a_ini	PossConc10_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	PossConc10_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	za_s_e_u_ku_hlal_a_ini	PossConc10_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
na_u_(lu)_qoqosho	AdvPre_NPrePre11_BPre11_NStem	AdvPre_NPrePre11_BPre11_NStem	na_u_(lu)_qoqosho	AdvPre_NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
i_n_gabula_zi_gcawu	NPrePre9_BPre9_NStem_BPre8_NStem	NPrePre9_BPre9_NStem_BPre8_NStem	i_n_gabula_zi_gcawu	NPrePre9_BPre9_NStem_BPre8_NStem
ku_u_m_gaqo_si_seko	LocPre_NPrePre3_BPre3_NStem_BPre7_NStem	LocPre_NPrePre3_BPre3_NStem_BPre7_NStem	ku_u_m_gaqo_si_seko	LocPre_NPrePre3_BPre3_NStem_BPre7_NStem
i_ku_qaqamb_is_a	SC9_OC15_VRoot_CausExt_VerbTerm	SC9_BPre15_VRoot_CausExt_VerbTerm	i_ku_qaqamb_is_a	SC9_BPre15_VRoot_CausExt_VerbTerm
ngcono	Adv	Adv	ngcono	Adv
oku	Dem15_Pos1	Dem15	oku	Dem15
ku_lungelelan_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_lungelelan_a	SC15_VRoot_VerbTerm
.	Punc	Punc	.	Punc
si_qond_a	SC1pp_VRoot_VerbTerm	SC1pp_VRoot_VerbTerm	si_qond_a	SC1pp_VRoot_VerbTerm
i_si_nyanzeliso	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_nyanzeliso	NPrePre7_BPre7_NStem
si_ka_rhulumente	PossConc7_PossKA_NStem	PossConc7_PossKA_NStem	si_ka_rhulumente	PossConc7_PossKA_NStem
e_u_ku_jik_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_jik_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_(z)im_phembelelo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)im_phembelelo	NPrePre10_BPre10_NStem
za_u_ku_cukul_w_a	PossConc10_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	PossConc8_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	za_u_ku_cukul_w_a	PossConc8_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
nga_u_bu_hlanga	AdvPre_NPrePre14_BPre14_NStem	AdvPre_NPrePre14_BPre14_NStem	nga_u_bu_hlanga	AdvPre_NPrePre14_BPre14_NStem
,	Punc	Punc	,	Punc
ku_i_meko	LocPre_NPrePre9_NStem	LocPre_NPrePre9_NStem	ku_i_meko	LocPre_NPrePre9_NStem
apho	Dem16_Pos2	Dem16	apho	Dem16
bo_nke	QuantConc2_QuantStem	QuantConc2_QuantStem	bo_nke	QuantConc2_QuantStem
a_be_mi	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_be_mi	NPrePre2_BPre2_NStem
be_zi_v_a	SC2_ReflPre_VRoot_VerbTerm	SC2_ReflPre_VRoot_VerbTerm	be_zi_v_a	SC2_ReflPre_VRoot_VerbTerm
be_y_i_n_xalenye	Past_CopPre_NPrePre9_BPre9_NStem	CopPre_CopPre_NPrePre9_BPre9_NStem	be_y_i_n_xalenye	CopPre_CopPre_NPrePre9_BPre9_NStem
ya_i_li_zwe	PossConc9_NPrePre5_BPre5_NStem	PossConc9_NPrePre5_BPre5_NStem	ya_i_li_zwe	PossConc9_NPrePre5_BPre5_NStem
na_i_(z)in_kqubo	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	na_i_(z)in_kqubo	AdvPre_NPrePre10_BPre10_NStem
za_lo	PossConc10_PronStem5	PossConc10_PronStem5	za_lo	PossConc10_PronStem5
.	Punc	Punc	.	Punc
i_(z)i_komiti	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)i_komiti	NPrePre10_BPre10_NStem
za_i_wadi	PossConc10_NPrePre9_NStem	PossConc10_NPrePre9_NStem	za_i_wadi	PossConc10_NPrePre9_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
zi_phuhl_is_e	SC10_VRoot_CausExt_VerbTerm	SC10_VRoot_CausExt_VerbTerm	zi_phuhl_is_e	SC10_VRoot_CausExt_VerbTerm
zi_phind_e	SC10_VRoot_VerbTerm	SC10_VRoot_VerbTerm	zi_phind_e	SC10_VRoot_VerbTerm
zi_zalisek_is_e	SC10_VRoot_CausExt_VerbTerm	SC8_VRoot_CausExt_VerbTerm	zi_zalisek_is_e	SC8_VRoot_CausExt_VerbTerm
i_(z)in_kqubo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_kqubo	NPrePre10_BPre10_NStem
ezi_ya	RelConc10_Fut	RelConc8_Fut	ezi_ya	RelConc8_Fut
ku_nced_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_nced_a	SC15_VRoot_VerbTerm
e_u_ku_gqithis_ini	LocPre_NPrePre15_BPre15_VRoot_LocSuf	LocPre_NPrePre15_BPre15_VRoot_LocSuf	e_u_ku_gqithis_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
u_lu_azi	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_azi	NPrePre11_BPre11_NStem
olu_fanel_ek_il_e_yo	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf	olu_fanel_ek_il_e_yo	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf
olu_y_a	RelConc11_VRoot_VerbTerm	RelConc11_VRoot_VerbTerm	olu_ya	RelConc11_Fut
na_olu_suk_a	AdvPre_RelConc11_VRoot_VerbTerm	AdvPre_RelConc11_VRoot_VerbTerm	na_olu_suk_a	AdvPre_RelConc11_VRoot_VerbTerm
ku_ba_ba_hlali	LocPre_BPre2_OC2_NStem	LocPre_BPre2_BPre2_NStem	ku_a_ba_hlali	LocPre_NPrePre2_BPre2_NStem
lu_si_y_a	SC11_Pro_VRoot_VerbTerm	SC11_Past_VRoot_VerbTerm	lu_si_y_a	SC11_Past_VRoot_VerbTerm
ku_i_(li)_bhunga	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5_NStem	ku_i_(li)_bhunga	LocPre_NPrePre5_BPre5_NStem
na_olu_suk_a	AdvPre_RelConc11_VRoot_VerbTerm	AdvPre_RelConc11_VRoot_VerbTerm	na_olu_suk_a	AdvPre_RelConc11_VRoot_VerbTerm
ku_i_(li)_bhunga	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5_NStem	ku_i_(li)_bhunga	LocPre_NPrePre5_BPre5_NStem
lu_si_y_a	SC11_Pro_VRoot_VerbTerm	SC11_Past_VRoot_VerbTerm	lu_si_y_a	SC11_Past_VRoot_VerbTerm
ku_ba_ba_hlali	LocPre_BPre2_OC2_NStem	LocPre_BPre2_BPre2_NStem	ku_a_ba_hlali	LocPre_NPrePre2_BPre2_NStem
.	Punc	Punc	.	Punc
i_(z)in_kqubo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_kqubo	NPrePre10_BPre10_NStem
ku_funek_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_funek_a	SC15_VRoot_VerbTerm
